location,location_name,year,age_group_id,age_group,sex_id,sex,metric,mean
AFG,Afghanistan,2003,34,2 to 4 yrs,3,both,obese,0.06
AFG,Afghanistan,2003,6,5 to 9 yrs,3,both,obese,0.06
AFG,Afghanistan,2003,7,10 to 14 yrs,3,both,obese,0.051
AFG,Afghanistan,2003,8,15 to 19 yrs,3,both,obese,0.047
AFG,Afghanistan,2003,9,20 to 24 yrs,3,both,obese,0.065
AFG,Afghanistan,2003,10,25 to 29 yrs,3,both,obese,0.091
AFG,Afghanistan,2003,11,30 to 34 yrs,3,both,obese,0.117
AFG,Afghanistan,2003,12,35 to 39 yrs,3,both,obese,0.129
AFG,Afghanistan,2003,13,40 to 44 yrs,3,both,obese,0.154
AFG,Afghanistan,2003,14,45 to 49 yrs,3,both,obese,0.171
AFG,Afghanistan,2003,15,50 to 54 yrs,3,both,obese,0.186
AFG,Afghanistan,2003,16,55 to 59 yrs,3,both,obese,0.193
AFG,Afghanistan,2003,17,60 to 64 yrs,3,both,obese,0.195
AFG,Afghanistan,2003,18,65 to 69 yrs,3,both,obese,0.182
AFG,Afghanistan,2003,19,70 to 74 yrs,3,both,obese,0.176
AFG,Afghanistan,2003,20,75 to 79 yrs,3,both,obese,0.159
AFG,Afghanistan,2003,21,80+ yrs,3,both,obese,0.13
AFG,Afghanistan,2004,34,2 to 4 yrs,3,both,obese,0.06
AFG,Afghanistan,2004,6,5 to 9 yrs,3,both,obese,0.06
AFG,Afghanistan,2004,7,10 to 14 yrs,3,both,obese,0.051
AFG,Afghanistan,2004,8,15 to 19 yrs,3,both,obese,0.047
AFG,Afghanistan,2004,9,20 to 24 yrs,3,both,obese,0.065
AFG,Afghanistan,2004,10,25 to 29 yrs,3,both,obese,0.091
AFG,Afghanistan,2004,11,30 to 34 yrs,3,both,obese,0.117
AFG,Afghanistan,2004,12,35 to 39 yrs,3,both,obese,0.129
AFG,Afghanistan,2004,13,40 to 44 yrs,3,both,obese,0.154
AFG,Afghanistan,2004,14,45 to 49 yrs,3,both,obese,0.171
AFG,Afghanistan,2004,15,50 to 54 yrs,3,both,obese,0.186
AFG,Afghanistan,2004,16,55 to 59 yrs,3,both,obese,0.193
AFG,Afghanistan,2004,17,60 to 64 yrs,3,both,obese,0.195
AFG,Afghanistan,2004,18,65 to 69 yrs,3,both,obese,0.183
AFG,Afghanistan,2004,19,70 to 74 yrs,3,both,obese,0.177
AFG,Afghanistan,2004,20,75 to 79 yrs,3,both,obese,0.16
AFG,Afghanistan,2004,21,80+ yrs,3,both,obese,0.131
AFG,Afghanistan,2005,34,2 to 4 yrs,3,both,obese,0.06
AFG,Afghanistan,2005,6,5 to 9 yrs,3,both,obese,0.06
AFG,Afghanistan,2005,7,10 to 14 yrs,3,both,obese,0.051
AFG,Afghanistan,2005,8,15 to 19 yrs,3,both,obese,0.047
AFG,Afghanistan,2005,9,20 to 24 yrs,3,both,obese,0.065
AFG,Afghanistan,2005,10,25 to 29 yrs,3,both,obese,0.091
AFG,Afghanistan,2005,11,30 to 34 yrs,3,both,obese,0.117
AFG,Afghanistan,2005,12,35 to 39 yrs,3,both,obese,0.129
AFG,Afghanistan,2005,13,40 to 44 yrs,3,both,obese,0.154
AFG,Afghanistan,2005,14,45 to 49 yrs,3,both,obese,0.17
AFG,Afghanistan,2005,15,50 to 54 yrs,3,both,obese,0.187
AFG,Afghanistan,2005,16,55 to 59 yrs,3,both,obese,0.194
AFG,Afghanistan,2005,17,60 to 64 yrs,3,both,obese,0.196
AFG,Afghanistan,2005,18,65 to 69 yrs,3,both,obese,0.183
AFG,Afghanistan,2005,19,70 to 74 yrs,3,both,obese,0.178
AFG,Afghanistan,2005,20,75 to 79 yrs,3,both,obese,0.16
AFG,Afghanistan,2005,21,80+ yrs,3,both,obese,0.131
AFG,Afghanistan,2006,34,2 to 4 yrs,3,both,obese,0.061
AFG,Afghanistan,2006,6,5 to 9 yrs,3,both,obese,0.06
AFG,Afghanistan,2006,7,10 to 14 yrs,3,both,obese,0.052
AFG,Afghanistan,2006,8,15 to 19 yrs,3,both,obese,0.047
AFG,Afghanistan,2006,9,20 to 24 yrs,3,both,obese,0.065
AFG,Afghanistan,2006,10,25 to 29 yrs,3,both,obese,0.091
AFG,Afghanistan,2006,11,30 to 34 yrs,3,both,obese,0.117
AFG,Afghanistan,2006,12,35 to 39 yrs,3,both,obese,0.129
AFG,Afghanistan,2006,13,40 to 44 yrs,3,both,obese,0.154
AFG,Afghanistan,2006,14,45 to 49 yrs,3,both,obese,0.17
AFG,Afghanistan,2006,15,50 to 54 yrs,3,both,obese,0.187
AFG,Afghanistan,2006,16,55 to 59 yrs,3,both,obese,0.194
AFG,Afghanistan,2006,17,60 to 64 yrs,3,both,obese,0.196
AFG,Afghanistan,2006,18,65 to 69 yrs,3,both,obese,0.184
AFG,Afghanistan,2006,19,70 to 74 yrs,3,both,obese,0.179
AFG,Afghanistan,2006,20,75 to 79 yrs,3,both,obese,0.161
AFG,Afghanistan,2006,21,80+ yrs,3,both,obese,0.131
AFG,Afghanistan,2007,34,2 to 4 yrs,3,both,obese,0.061
AFG,Afghanistan,2007,6,5 to 9 yrs,3,both,obese,0.06
AFG,Afghanistan,2007,7,10 to 14 yrs,3,both,obese,0.052
AFG,Afghanistan,2007,8,15 to 19 yrs,3,both,obese,0.047
AFG,Afghanistan,2007,9,20 to 24 yrs,3,both,obese,0.065
AFG,Afghanistan,2007,10,25 to 29 yrs,3,both,obese,0.091
AFG,Afghanistan,2007,11,30 to 34 yrs,3,both,obese,0.117
AFG,Afghanistan,2007,12,35 to 39 yrs,3,both,obese,0.128
AFG,Afghanistan,2007,13,40 to 44 yrs,3,both,obese,0.155
AFG,Afghanistan,2007,14,45 to 49 yrs,3,both,obese,0.17
AFG,Afghanistan,2007,15,50 to 54 yrs,3,both,obese,0.188
AFG,Afghanistan,2007,16,55 to 59 yrs,3,both,obese,0.195
AFG,Afghanistan,2007,17,60 to 64 yrs,3,both,obese,0.196
AFG,Afghanistan,2007,18,65 to 69 yrs,3,both,obese,0.184
AFG,Afghanistan,2007,19,70 to 74 yrs,3,both,obese,0.18
AFG,Afghanistan,2007,20,75 to 79 yrs,3,both,obese,0.161
AFG,Afghanistan,2007,21,80+ yrs,3,both,obese,0.132
AFG,Afghanistan,2008,34,2 to 4 yrs,3,both,obese,0.061
AFG,Afghanistan,2008,6,5 to 9 yrs,3,both,obese,0.06
AFG,Afghanistan,2008,7,10 to 14 yrs,3,both,obese,0.052
AFG,Afghanistan,2008,8,15 to 19 yrs,3,both,obese,0.047
AFG,Afghanistan,2008,9,20 to 24 yrs,3,both,obese,0.065
AFG,Afghanistan,2008,10,25 to 29 yrs,3,both,obese,0.091
AFG,Afghanistan,2008,11,30 to 34 yrs,3,both,obese,0.117
AFG,Afghanistan,2008,12,35 to 39 yrs,3,both,obese,0.128
AFG,Afghanistan,2008,13,40 to 44 yrs,3,both,obese,0.155
AFG,Afghanistan,2008,14,45 to 49 yrs,3,both,obese,0.17
AFG,Afghanistan,2008,15,50 to 54 yrs,3,both,obese,0.188
AFG,Afghanistan,2008,16,55 to 59 yrs,3,both,obese,0.195
AFG,Afghanistan,2008,17,60 to 64 yrs,3,both,obese,0.197
AFG,Afghanistan,2008,18,65 to 69 yrs,3,both,obese,0.185
AFG,Afghanistan,2008,19,70 to 74 yrs,3,both,obese,0.18
AFG,Afghanistan,2008,20,75 to 79 yrs,3,both,obese,0.162
AFG,Afghanistan,2008,21,80+ yrs,3,both,obese,0.132
AFG,Afghanistan,2009,34,2 to 4 yrs,3,both,obese,0.061
AFG,Afghanistan,2009,6,5 to 9 yrs,3,both,obese,0.06
AFG,Afghanistan,2009,7,10 to 14 yrs,3,both,obese,0.052
AFG,Afghanistan,2009,8,15 to 19 yrs,3,both,obese,0.047
AFG,Afghanistan,2009,9,20 to 24 yrs,3,both,obese,0.065
AFG,Afghanistan,2009,10,25 to 29 yrs,3,both,obese,0.091
AFG,Afghanistan,2009,11,30 to 34 yrs,3,both,obese,0.118
AFG,Afghanistan,2009,12,35 to 39 yrs,3,both,obese,0.129
AFG,Afghanistan,2009,13,40 to 44 yrs,3,both,obese,0.155
AFG,Afghanistan,2009,14,45 to 49 yrs,3,both,obese,0.17
AFG,Afghanistan,2009,15,50 to 54 yrs,3,both,obese,0.189
AFG,Afghanistan,2009,16,55 to 59 yrs,3,both,obese,0.197
AFG,Afghanistan,2009,17,60 to 64 yrs,3,both,obese,0.198
AFG,Afghanistan,2009,18,65 to 69 yrs,3,both,obese,0.186
AFG,Afghanistan,2009,19,70 to 74 yrs,3,both,obese,0.182
AFG,Afghanistan,2009,20,75 to 79 yrs,3,both,obese,0.163
AFG,Afghanistan,2009,21,80+ yrs,3,both,obese,0.133
AFG,Afghanistan,2010,34,2 to 4 yrs,3,both,obese,0.062
AFG,Afghanistan,2010,6,5 to 9 yrs,3,both,obese,0.061
AFG,Afghanistan,2010,7,10 to 14 yrs,3,both,obese,0.053
AFG,Afghanistan,2010,8,15 to 19 yrs,3,both,obese,0.048
AFG,Afghanistan,2010,9,20 to 24 yrs,3,both,obese,0.065
AFG,Afghanistan,2010,10,25 to 29 yrs,3,both,obese,0.091
AFG,Afghanistan,2010,11,30 to 34 yrs,3,both,obese,0.118
AFG,Afghanistan,2010,12,35 to 39 yrs,3,both,obese,0.129
AFG,Afghanistan,2010,13,40 to 44 yrs,3,both,obese,0.156
AFG,Afghanistan,2010,14,45 to 49 yrs,3,both,obese,0.171
AFG,Afghanistan,2010,15,50 to 54 yrs,3,both,obese,0.19
AFG,Afghanistan,2010,16,55 to 59 yrs,3,both,obese,0.197
AFG,Afghanistan,2010,17,60 to 64 yrs,3,both,obese,0.198
AFG,Afghanistan,2010,18,65 to 69 yrs,3,both,obese,0.186
AFG,Afghanistan,2010,19,70 to 74 yrs,3,both,obese,0.183
AFG,Afghanistan,2010,20,75 to 79 yrs,3,both,obese,0.164
AFG,Afghanistan,2010,21,80+ yrs,3,both,obese,0.133
AFG,Afghanistan,2011,34,2 to 4 yrs,3,both,obese,0.062
AFG,Afghanistan,2011,6,5 to 9 yrs,3,both,obese,0.061
AFG,Afghanistan,2011,7,10 to 14 yrs,3,both,obese,0.053
AFG,Afghanistan,2011,8,15 to 19 yrs,3,both,obese,0.048
AFG,Afghanistan,2011,9,20 to 24 yrs,3,both,obese,0.066
