location,location_name,year,age_group_id,age_group,sex_id,sex,metric,mean
AFG,Afghanistan,2003,34,2 to 4 yrs,1,male,obese,0.074
AFG,Afghanistan,2003,6,5 to 9 yrs,1,male,obese,0.067
AFG,Afghanistan,2003,7,10 to 14 yrs,1,male,obese,0.064
AFG,Afghanistan,2003,8,15 to 19 yrs,1,male,obese,0.058
AFG,Afghanistan,2003,9,20 to 24 yrs,1,male,obese,0.084
AFG,Afghanistan,2003,10,25 to 29 yrs,1,male,obese,0.113
AFG,Afghanistan,2003,11,30 to 34 yrs,1,male,obese,0.128
AFG,Afghanistan,2003,12,35 to 39 yrs,1,male,obese,0.147
AFG,Afghanistan,2003,13,40 to 44 yrs,1,male,obese,0.159
AFG,Afghanistan,2003,14,45 to 49 yrs,1,male,obese,0.171
AFG,Afghanistan,2003,15,50 to 54 yrs,1,male,obese,0.175
AFG,Afghanistan,2003,16,55 to 59 yrs,1,male,obese,0.178
AFG,Afghanistan,2003,17,60 to 64 yrs,1,male,obese,0.18
AFG,Afghanistan,2003,18,65 to 69 yrs,1,male,obese,0.166
AFG,Afghanistan,2003,19,70 to 74 yrs,1,male,obese,0.156
AFG,Afghanistan,2003,20,75 to 79 yrs,1,male,obese,0.148
AFG,Afghanistan,2003,21,80+ yrs,1,male,obese,0.121
AFG,Afghanistan,2003,34,2 to 4 yrs,2,female,obese,0.045
AFG,Afghanistan,2003,6,5 to 9 yrs,2,female,obese,0.052
AFG,Afghanistan,2003,7,10 to 14 yrs,2,female,obese,0.038
AFG,Afghanistan,2003,8,15 to 19 yrs,2,female,obese,0.035
AFG,Afghanistan,2003,9,20 to 24 yrs,2,female,obese,0.045
AFG,Afghanistan,2003,10,25 to 29 yrs,2,female,obese,0.068
AFG,Afghanistan,2003,11,30 to 34 yrs,2,female,obese,0.105
AFG,Afghanistan,2003,12,35 to 39 yrs,2,female,obese,0.111
AFG,Afghanistan,2003,13,40 to 44 yrs,2,female,obese,0.149
AFG,Afghanistan,2003,14,45 to 49 yrs,2,female,obese,0.17
AFG,Afghanistan,2003,15,50 to 54 yrs,2,female,obese,0.197
AFG,Afghanistan,2003,16,55 to 59 yrs,2,female,obese,0.206
AFG,Afghanistan,2003,17,60 to 64 yrs,2,female,obese,0.209
AFG,Afghanistan,2003,18,65 to 69 yrs,2,female,obese,0.195
AFG,Afghanistan,2003,19,70 to 74 yrs,2,female,obese,0.191
AFG,Afghanistan,2003,20,75 to 79 yrs,2,female,obese,0.168
AFG,Afghanistan,2003,21,80+ yrs,2,female,obese,0.136
AFG,Afghanistan,2004,34,2 to 4 yrs,1,male,obese,0.074
AFG,Afghanistan,2004,6,5 to 9 yrs,1,male,obese,0.067
AFG,Afghanistan,2004,7,10 to 14 yrs,1,male,obese,0.064
AFG,Afghanistan,2004,8,15 to 19 yrs,1,male,obese,0.058
AFG,Afghanistan,2004,9,20 to 24 yrs,1,male,obese,0.084
AFG,Afghanistan,2004,10,25 to 29 yrs,1,male,obese,0.113
AFG,Afghanistan,2004,11,30 to 34 yrs,1,male,obese,0.128
AFG,Afghanistan,2004,12,35 to 39 yrs,1,male,obese,0.147
AFG,Afghanistan,2004,13,40 to 44 yrs,1,male,obese,0.159
AFG,Afghanistan,2004,14,45 to 49 yrs,1,male,obese,0.171
AFG,Afghanistan,2004,15,50 to 54 yrs,1,male,obese,0.175
AFG,Afghanistan,2004,16,55 to 59 yrs,1,male,obese,0.179
AFG,Afghanistan,2004,17,60 to 64 yrs,1,male,obese,0.181
AFG,Afghanistan,2004,18,65 to 69 yrs,1,male,obese,0.167
AFG,Afghanistan,2004,19,70 to 74 yrs,1,male,obese,0.157
AFG,Afghanistan,2004,20,75 to 79 yrs,1,male,obese,0.148
AFG,Afghanistan,2004,21,80+ yrs,1,male,obese,0.121
AFG,Afghanistan,2004,34,2 to 4 yrs,2,female,obese,0.045
AFG,Afghanistan,2004,6,5 to 9 yrs,2,female,obese,0.052
AFG,Afghanistan,2004,7,10 to 14 yrs,2,female,obese,0.038
AFG,Afghanistan,2004,8,15 to 19 yrs,2,female,obese,0.035
AFG,Afghanistan,2004,9,20 to 24 yrs,2,female,obese,0.045
AFG,Afghanistan,2004,10,25 to 29 yrs,2,female,obese,0.067
AFG,Afghanistan,2004,11,30 to 34 yrs,2,female,obese,0.105
AFG,Afghanistan,2004,12,35 to 39 yrs,2,female,obese,0.11
AFG,Afghanistan,2004,13,40 to 44 yrs,2,female,obese,0.149
AFG,Afghanistan,2004,14,45 to 49 yrs,2,female,obese,0.17
AFG,Afghanistan,2004,15,50 to 54 yrs,2,female,obese,0.198
AFG,Afghanistan,2004,16,55 to 59 yrs,2,female,obese,0.206
AFG,Afghanistan,2004,17,60 to 64 yrs,2,female,obese,0.209
AFG,Afghanistan,2004,18,65 to 69 yrs,2,female,obese,0.196
AFG,Afghanistan,2004,19,70 to 74 yrs,2,female,obese,0.193
AFG,Afghanistan,2004,20,75 to 79 yrs,2,female,obese,0.168
AFG,Afghanistan,2004,21,80+ yrs,2,female,obese,0.137
AFG,Afghanistan,2005,34,2 to 4 yrs,1,male,obese,0.074
AFG,Afghanistan,2005,6,5 to 9 yrs,1,male,obese,0.067
AFG,Afghanistan,2005,7,10 to 14 yrs,1,male,obese,0.064
AFG,Afghanistan,2005,8,15 to 19 yrs,1,male,obese,0.058
AFG,Afghanistan,2005,9,20 to 24 yrs,1,male,obese,0.084
AFG,Afghanistan,2005,10,25 to 29 yrs,1,male,obese,0.113
AFG,Afghanistan,2005,11,30 to 34 yrs,1,male,obese,0.129
AFG,Afghanistan,2005,12,35 to 39 yrs,1,male,obese,0.147
AFG,Afghanistan,2005,13,40 to 44 yrs,1,male,obese,0.16
AFG,Afghanistan,2005,14,45 to 49 yrs,1,male,obese,0.171
AFG,Afghanistan,2005,15,50 to 54 yrs,1,male,obese,0.176
AFG,Afghanistan,2005,16,55 to 59 yrs,1,male,obese,0.18
AFG,Afghanistan,2005,17,60 to 64 yrs,1,male,obese,0.181
AFG,Afghanistan,2005,18,65 to 69 yrs,1,male,obese,0.167
AFG,Afghanistan,2005,19,70 to 74 yrs,1,male,obese,0.158
AFG,Afghanistan,2005,20,75 to 79 yrs,1,male,obese,0.149
AFG,Afghanistan,2005,21,80+ yrs,1,male,obese,0.122
AFG,Afghanistan,2005,34,2 to 4 yrs,2,female,obese,0.046
AFG,Afghanistan,2005,6,5 to 9 yrs,2,female,obese,0.052
AFG,Afghanistan,2005,7,10 to 14 yrs,2,female,obese,0.038
AFG,Afghanistan,2005,8,15 to 19 yrs,2,female,obese,0.035
AFG,Afghanistan,2005,9,20 to 24 yrs,2,female,obese,0.044
AFG,Afghanistan,2005,10,25 to 29 yrs,2,female,obese,0.067
AFG,Afghanistan,2005,11,30 to 34 yrs,2,female,obese,0.105
AFG,Afghanistan,2005,12,35 to 39 yrs,2,female,obese,0.109
AFG,Afghanistan,2005,13,40 to 44 yrs,2,female,obese,0.148
AFG,Afghanistan,2005,14,45 to 49 yrs,2,female,obese,0.169
AFG,Afghanistan,2005,15,50 to 54 yrs,2,female,obese,0.199
AFG,Afghanistan,2005,16,55 to 59 yrs,2,female,obese,0.207
AFG,Afghanistan,2005,17,60 to 64 yrs,2,female,obese,0.209
AFG,Afghanistan,2005,18,65 to 69 yrs,2,female,obese,0.197
AFG,Afghanistan,2005,19,70 to 74 yrs,2,female,obese,0.194
AFG,Afghanistan,2005,20,75 to 79 yrs,2,female,obese,0.168
AFG,Afghanistan,2005,21,80+ yrs,2,female,obese,0.137
AFG,Afghanistan,2006,34,2 to 4 yrs,1,male,obese,0.074
AFG,Afghanistan,2006,6,5 to 9 yrs,1,male,obese,0.067
AFG,Afghanistan,2006,7,10 to 14 yrs,1,male,obese,0.064
AFG,Afghanistan,2006,8,15 to 19 yrs,1,male,obese,0.058
AFG,Afghanistan,2006,9,20 to 24 yrs,1,male,obese,0.085
AFG,Afghanistan,2006,10,25 to 29 yrs,1,male,obese,0.114
AFG,Afghanistan,2006,11,30 to 34 yrs,1,male,obese,0.129
AFG,Afghanistan,2006,12,35 to 39 yrs,1,male,obese,0.148
AFG,Afghanistan,2006,13,40 to 44 yrs,1,male,obese,0.161
AFG,Afghanistan,2006,14,45 to 49 yrs,1,male,obese,0.172
AFG,Afghanistan,2006,15,50 to 54 yrs,1,male,obese,0.176
AFG,Afghanistan,2006,16,55 to 59 yrs,1,male,obese,0.181
AFG,Afghanistan,2006,17,60 to 64 yrs,1,male,obese,0.181
AFG,Afghanistan,2006,18,65 to 69 yrs,1,male,obese,0.168
AFG,Afghanistan,2006,19,70 to 74 yrs,1,male,obese,0.159
AFG,Afghanistan,2006,20,75 to 79 yrs,1,male,obese,0.149
AFG,Afghanistan,2006,21,80+ yrs,1,male,obese,0.122
AFG,Afghanistan,2006,34,2 to 4 yrs,2,female,obese,0.046
AFG,Afghanistan,2006,6,5 to 9 yrs,2,female,obese,0.052
AFG,Afghanistan,2006,7,10 to 14 yrs,2,female,obese,0.038
AFG,Afghanistan,2006,8,15 to 19 yrs,2,female,obese,0.035
